Date,Home Team,Away Team,Home Score,Away Score,Total Score,Overtime?,Playoff Game?,Neutral Venue?,Total Score Open,Differential,Wind Speed,Temperature,Humidity,Precipitation,Seahawks DF Ranking,Seahawks OF Ranking,Opponent DF Ranking,Opponent OF Ranking
9/10/2017,Green Bay Packers,Seattle Seahawks,17,9,26,,,,49.5,-23.5,6,68,60,none,14,15,26,26
9/17/2017,Seattle Seahawks,San Francisco 49ers,12,9,21,,,,43,-22,4,60,76,light rain,14,15,25,12
9/24/2017,Tennessee Titans,Seattle Seahawks,33,27,60,,,,43,17,2,87,52,none,14,15,17,23
10/1/2017,Seattle Seahawks,Indianapolis Colts,46,18,64,,,,41.5,22.5,3,56,70,none,14,15,30,31
10/8/2017,Los Angeles Rams,Seattle Seahawks,10,16,26,,,,46,-20,4,75,57,none,14,15,12,10
10/22/2017,New York Giants,Seattle Seahawks,7,24,31,,,,38.5,-7.5,2,68,50,none,14,15,27,21
10/29/2017,Seattle Seahawks,Houston Texans,41,38,79,,,,42,37,0,52,90,none,14,15,32,20
11/5/2017,Seattle Seahawks,Washington,14,17,31,,,,45,-14,4,35,88,light rain,14,15,28,16
11/9/2017,Arizona Cardinals,Seattle Seahawks,16,22,38,,,,42.5,-4.5,0,77,35,none,14,15,19,22
11/20/2017,Seattle Seahawks,Atlanta Falcons,31,34,65,,,,45,20,1,44,88,none,14,15,8,8
11/26/2017,San Francisco 49ers,Seattle Seahawks,13,24,37,,,,42,-5,4,62,84,none,14,15,25,12
12/3/2017,Seattle Seahawks,Philadelphia Eagles,24,10,34,,,,48,-14,0,41,88,none,14,15,4,7
12/10/2017,Jacksonville Jaguars,Seattle Seahawks,30,24,54,,,,39,15,2,49,50,none,14,15,2,6
12/17/2017,Seattle Seahawks,Los Angeles Rams,7,42,49,,,,47.5,1.5,6,47,89,none,14,15,12,10
12/24/2017,Dallas Cowboys,Seattle Seahawks,12,21,33,,,,47,-14,5,43,58,none,14,15,13,14
12/31/2017,Seattle Seahawks,Arizona Cardinals,24,26,50,,,,40.5,9.5,3,40,82,none,14,15,19,22
9/9/2018,Denver Broncos,Seattle Seahawks,27,24,51,,,,42,9,3,85,16,none,11,18,13,19
